URL,ID,Name,Trade Name,Address Name,Postalcode,City,State,Country,Location type
https://www.info-clipper.com/en/company/united-states/masimo-corporation.usdcwn4q6.html,1,MASIMO CORPORATION,,52 DISCOVERY,              926183105,IRVINE,California(CA),UNITED STATES,Headquarter
https://www.info-clipper.com/en/company/united-kingdom/watchtower-security-solutions-united-kingdom-limited.gbd3s3hti.html,2,WATCHTOWER SECURITY SOLUTIONS UNITED KINGDOM LIMITED,,82 St. John Street,              EC1M 4JN,LONDON,UNITED KINGDOM,UNITED KINGDOM,Single address
https://www.info-clipper.com/en/company/italy/stellantis-nv.itd776ab4.html,3,STELLANTIS N.V.,,VIA PLAVA 80,              10135,TORINO,ITALY,ITALY,Headquarter
https://www.info-clipper.com/en/company/estonia/recticel-ou.eed8uixf6.html,4,RECTICEL OU,,Peterburi tee 48a,              11415,Tallinn,ESTONIA,ESTONIA,Single address
https://www.info-clipper.com/en/company/united-states/tank-holding-corp.usdg05ybb.html,5,TANK HOLDING CORP.,,6940 O ST STE 100,              685102458,LINCOLN,Nebraska(NE),UNITED STATES,Headquarter
https://www.info-clipper.com/en/company/united-kingdom/sbm-life-science-ltd.gbd3o2xts.html,6,SBM LIFE SCIENCE LTD,,Hyerprion House Fordham Road,              CB8 7XN,NEWMARKET,UNITED KINGDOM,UNITED KINGDOM,Single address
https://www.info-clipper.com/en/company/italy/newton-compton-editori-srl.itde6ajz2.html,7,NEWTON COMPTON EDITORI SRL,NEWTON & COMPTON,VIA PANAMA 22,              00198,ROMA,ITALY,ITALY,Single address
https://www.info-clipper.com/en/company/estonia/seb-pank-as.eedao2lxh.html,8,SEB PANK AS,,2 Tornimae tn 2,              15010,Tallinn,ESTONIA,ESTONIA,Headquarter
https://www.info-clipper.com/en/company/united-states/bellagio-llc.usddl0lu.html,9,"BELLAGIO, LLC",,3600 LAS VEGAS BLVD S,              891094339,LAS VEGAS,Nevada(NV),UNITED STATES,Headquarter
https://www.info-clipper.com/en/company/united-kingdom/informa-tech-research-limited.gbd3pzc20.html,10,INFORMA TECH RESEARCH LIMITED,,5 Howick Place,              SW1P 1WG,LONDON,UNITED KINGDOM,UNITED KINGDOM,Headquarter
https://www.info-clipper.com/en/company/italy/la-fortezza-spa.itd79xv9h.html,11,LA FORTEZZA SPA,,VIA DELL'ARTIGIANO 21/23,              40065,PIANORO,ITALY,ITALY,Headquarter
https://www.info-clipper.com/en/company/estonia/tbb-pank-as.eed94zzu3.html,12,TBB PANK AS,,Vana-Viru tn 7,              15097,Tallinn,ESTONIA,ESTONIA,Headquarter
https://www.info-clipper.com/en/company/united-states/metro-goldwyn-mayer-studios-inc.usd45urs.html,13,METRO-GOLDWYN-MAYER STUDIOS INC.,,245 N BEVERLY DR,              902105319,BEVERLY HILLS,California(CA),UNITED STATES,Headquarter
https://www.info-clipper.com/en/company/united-kingdom/gfi-brokers-limited.gbd8ltops.html,14,GFI BROKERS LIMITED,,1 Snowden Street,              EC2A 2DQ,LONDON,UNITED KINGDOM,UNITED KINGDOM,Single address
https://www.info-clipper.com/en/company/italy/allianz-spa.itd6ere8r.html,15,ALLIANZ SPA,,PIAZZA TRE TORRI 3,              20145,MILANO,ITALY,ITALY,Headquarter
https://www.info-clipper.com/en/company/estonia/simpes-grupp-ou.eed98p600.html,16,SIMPES GRUPP OU,,Veski poik 3,              75301,"Assaku alevik, Rae vald",ESTONIA,ESTONIA,Headquarter
https://www.info-clipper.com/en/company/united-states/metro-goldwyn-mayer-pictures-inc.usd2f32cl.html,17,METRO-GOLDWYN-MAYER PICTURES INC.,,10900 WILSHIRE BLVD STE 1500,              900246529,LOS ANGELES,California(CA),UNITED STATES,Headquarter
https://www.info-clipper.com/en/company/united-kingdom/holmes-products-limited.gbd3wq9el.html,18,HOLMES PRODUCTS (EUROPE) LIMITED,,1 Francis Grove,              SW19 4DT,LONDON,UNITED KINGDOM,UNITED KINGDOM,Headquarter
https://www.info-clipper.com/en/company/italy/maisons-du-monde-italie-srl.itd7408r7.html,19,MAISONS DU MONDE ITALIE SRL,,VIA TIZIANO 32,              20145,MILANO,ITALY,ITALY,Headquarter
https://www.info-clipper.com/en/company/estonia/swedbank-support-ou.eedao0q2z.html,20,SWEDBANK SUPPORT OU,,Liivalaia tn 8,              10118,Tallinn,ESTONIA,ESTONIA,Single address
https://www.info-clipper.com/en/company/united-states/mgm-holdings-ii-inc.usd3a3dtg.html,21,"MGM HOLDINGS II, INC.",MGM STUDIOS,245 N BEVERLY DR,              902105319,BEVERLY HILLS,California(CA),UNITED STATES,Headquarter
