URL,ID,Name,corretto Name,tempo Estrazione Name,Trade Name,corretto Trade Name,tempo estrazione Trade Name,Address Name,corretto Address,tempo estrazione Address,City,corretto City,tempo estrazione City,Postalcode,State,corretto State,tempo estrazione State,Country,corretto Country,tempo estrazione Country,Location type,corretto location type,tempo estrazione Location Type
https://www.info-clipper.com/en/company/united-states/masimo-corporation.usdcwn4q6.html,1,MASIMO CORPORATION,True,_: 0.001666,,True,0,52 DISCOVERY,True,_: 0.006348,IRVINE,True,_: 0.007419,              926183105,California(CA),True,_: 0.007147,UNITED STATES,True,_: 0.006692,Headquarter,True,_: 0.004096
https://www.info-clipper.com/en/company/united-kingdom/watchtower-security-solutions-united-kingdom-limited.gbd3s3hti.html,2,WATCHTOWER SECURITY SOLUTIONS UNITED KINGDOM LIMITED,True,_: 0.000906,,True,0,82 St. John Street,True,_: 0.006059,LONDON,True,_: 0.008054,              EC1M 4JN,UNITED KINGDOM,True,0,UNITED KINGDOM,True,_: 0.006826,Single address,True,_: 0.005984
https://www.info-clipper.com/en/company/italy/stellantis-nv.itd776ab4.html,3,STELLANTIS N.V.,True,_: 0.000652,,True,0,VIA PLAVA 80,True,_: 0.000554,TORINO,True,_: 0.000759,              10135,ITALY,True,0,ITALY,True,_: 0.000527,Headquarter,True,_: 0.028901
https://www.info-clipper.com/en/company/estonia/recticel-ou.eed8uixf6.html,4,RECTICEL OU,True,_: 0.002102,,True,0,Peterburi tee 48a,True,_: 0.005899,Tallinn,True,_: 0.003297,              11415,ESTONIA,True,0,ESTONIA,True,_: 0.000671,Single address,True,_: 0.006515
https://www.info-clipper.com/en/company/united-states/tank-holding-corp.usdg05ybb.html,5,TANK HOLDING CORP.,True,_: 0.002265,,True,0,6940 O ST STE 100,True,_: 0.00066,LINCOLN,True,_: 0.000572,              685102458,Nebraska(NE),True,_: 0.000654,UNITED STATES,True,_: 0.017478,Headquarter,True,_: 0.024303
https://www.info-clipper.com/en/company/united-kingdom/sbm-life-science-ltd.gbd3o2xts.html,6,SBM LIFE SCIENCE LTD,True,_: 0.001465,,True,0,Hyerprion House Fordham Road,True,_: 0.000808,NEWMARKET,True,_: 0.006984,              CB8 7XN,UNITED KINGDOM,True,0,UNITED KINGDOM,True,_: 0.005019,Single address,True,_: 0.006194
https://www.info-clipper.com/en/company/italy/newton-compton-editori-srl.itde6ajz2.html,7,NEWTON COMPTON EDITORI SRL,True,_: 0.001103,NEWTON & COMPTON,True,_: 0.002881,VIA PANAMA 22,True,_: 0.005206,ROMA,True,_: 0.008527,              00198,ITALY,True,0,ITALY,True,_: 0.000692,Single address,True,_: 0.005403
https://www.info-clipper.com/en/company/estonia/seb-pank-as.eedao2lxh.html,8,SEB PANK AS,True,_: 0.000603,,True,0,2 Tornimae tn 2,True,_: 0.000622,Tallinn,True,_: 0.004461,              15010,ESTONIA,True,0,ESTONIA,True,_: 0.006161,Headquarter,True,_: 0.005463
https://www.info-clipper.com/en/company/united-states/bellagio-llc.usddl0lu.html,9,"BELLAGIO, LLC",True,_: 0.001751,,True,0,3600 LAS VEGAS BLVD S,True,_: 0.003861,LAS VEGAS,True,_: 0.009787,              891094339,Nevada(NV),True,_: 0.008368,UNITED STATES,True,_: 0.009453,Headquarter,True,_: 0.002385
https://www.info-clipper.com/en/company/united-kingdom/informa-tech-research-limited.gbd3pzc20.html,10,INFORMA TECH RESEARCH LIMITED,True,_: 0.000467,,True,0,5 Howick Place,True,_: 0.006185,LONDON,True,_: 0.00693,              SW1P 1WG,UNITED KINGDOM,True,0,UNITED KINGDOM,True,_: 0.000327,Headquarter,True,_: 0.000355
